貧農,ひんのう,sabetsu ,ng 
不具,ふぐ,other ,warning
ふじのやまい,,sabetsu ,ng 
不治の病,ふじのやまい,sabetsu ,ng 
ふみきりばん,,sabetsu ,ng 
踏切番,ふみきりばん,sabetsu ,ng 
ぶらく,,sabetsu ,warning
部落,ぶらく,sabetsu ,ng 
ぶらくみん,,sabetsu ,ng 
部落民,ぶらくみん,sabetsu ,ng 
ふろうじ,,sabetsu ,ng 
浮浪児,ふろうじ,sabetsu ,ng 
ふろうしゃ,,sabetsu ,ng 
浮浪者,ふろうしゃ,sabetsu ,ng 
ぶんもう,,sabetsu ,ng 
文盲,ぶんもう,sabetsu ,ng 
ほくせん,,sabetsu ,warning
北鮮,ほくせん,sabetsu ,ng 
ぽんびき,,sabetsu ,ng 
ぽん引き,ぽんびき,sabetsu ,ng 
みかいはつこく,,sabetsu ,ng 
未開発国,みかいはつこく,sabetsu ,ng 
めかけ,めかけ,sabetsu ,ng 
めくら,めくら,sabetsu ,warning
めくらばん,,sabetsu ,ng 
めくら判,めくらばん,sabetsu ,ng 
もうあい,,sabetsu ,ng 
盲愛,もうあい,sabetsu ,ng 
もうじん,,sabetsu ,ng 
盲人,もうじん,sabetsu ,ng 
やぶにらみ,やぶにらみ,sabetsu ,ng 
よせば,,sabetsu ,ng 
寄せ場,よせば,sabetsu ,ng 
寄り目,よりめ,sabetsu ,ng 
らいびょう,,sabetsu ,ng 
ライ病,らいびょう,sabetsu ,ng 
らくにんぶらく,,sabetsu ,ng 
落人部落,らくにんぶらく,sabetsu ,ng 
ルンペン,るんぺん,sabetsu ,ng 
るんぺん,,sabetsu ,ng 
ろすけ,,sabetsu ,ng 
ロ助,ろすけ,sabetsu ,ng 
ロンパリ,ろんぱり,sabetsu ,ng 
ろんぱり,,sabetsu ,ng 
穢多,えた,sabetsu ,ng 
賎民,せんみん,sabetsu ,ng 
こっぱやくにん,,sabetsu ,ng 
木っ端役人,こっぱやくにん,sabetsu ,ng 
ドキュン,,sabetsu ,ng 
かったい,,sabetsu ,warning
廃人,はいじん,sabetsu ,ng 
乞食,こじき,sabetsu ,warning
おわいや,,sabetsu ,ng 
おわい屋,おわいや,sabetsu ,ng 
番太,ばんた,sabetsu ,ng 
おまわり,,sabetsu ,ng 
おきなかし,,sabetsu ,ng 
沖仲仕,おきなかし,sabetsu ,ng 
かつぎや,,sabetsu ,ng 
かつぎ屋,かつぎや,sabetsu ,ng 
しゅうせんや,,sabetsu ,ng 
周旋屋,しゅうせんや,sabetsu ,ng 
どん百姓,,sabetsu ,ng 
たけのこいしゃ,,sabetsu ,ng 
タケノコ医者,たけのこいしゃ,sabetsu ,ng 
ばーてい,,sabetsu ,ng 
馬丁,ばーてい,sabetsu ,ng 
ポリ公,,sabetsu ,ng 
ぽっぽや,,sabetsu ,warning
ポンコツ屋,,sabetsu ,ng 
おんぼうや,,sabetsu ,ng 
隠亡屋,おんぼうや,sabetsu ,ng 
汚穢屋,おわいや,sabetsu ,ng 
バッタ屋,,sabetsu ,ng 
かぶや,,sabetsu ,ng 
株屋,かぶや,sabetsu ,ng 
あめこう,,sabetsu ,ng 
アメ公,あめこう,sabetsu ,ng 
いたこう,,sabetsu ,ng 
イタ公,いたこう,sabetsu ,ng 
ロスケ,,sabetsu ,ng 
ジャップ,じゃっぷ,sabetsu ,ng 
じゃっぷ,,sabetsu ,ng 
チャンコロ,,sabetsu ,ng 
しなじん,,sabetsu ,ng 
支那人,しなじん,sabetsu ,ng 
ポコペン,,sabetsu ,ng 
こうもうじん,,sabetsu ,ng 
紅毛人,こうもうじん,sabetsu ,ng 
はんとうじん,,sabetsu ,ng 
半島人,はんとうじん,sabetsu ,ng 
ちゅうきょう,,sabetsu ,ng 
中共,ちゅうきょう,sabetsu ,ng 
ていかいはつこく,,sabetsu ,ng 
低開発国,ていかいはつこく,sabetsu ,ng 
ダッチマン,だっちまん,sabetsu ,ng 
だっちまん,,sabetsu ,ng 
日本のチベット,,sabetsu ,ng 
さんかんせいばつ,,sabetsu ,ng 
三韓征伐,さんかんせいばつ,sabetsu ,ng 
ちょうせんじん,,sabetsu ,ng 
朝鮮人,ちょうせんじん,sabetsu ,ng 
痴呆,,sabetsu ,ng 
しょろう,,sabetsu ,warning
初老,しょろう,sabetsu ,warning
とうあびょうふ,,sabetsu ,ng 
東亜病夫,とうあびょうふ,sabetsu ,ng 
ヨボ,,sabetsu ,warning
露助,ろすけ,sabetsu ,ng 
ひのもとおにこ,,sabetsu ,ng 
日本鬼子,ひのもとおにこ,sabetsu ,ng 
小日本,,sabetsu ,ng 
東洋鬼,,sabetsu ,ng 
おにしまづ,,sabetsu ,ng 
鬼石曼子,おにしまづ,sabetsu ,ng 
東夷,とうい,sabetsu ,ng 
チョッパリ,,sabetsu ,ng 
ウェノム,うぇのむ,sabetsu ,ng 
うぇのむ,,sabetsu ,ng 
ニップ,,sabetsu ,warning
とくしゅぶらく,,sabetsu ,ng 
特殊部落,とくしゅぶらく,sabetsu ,ng 
にんぴにん,,sabetsu ,ng 
人非人,にんぴにん,sabetsu ,ng 
かこちょう,,sabetsu ,ng 
過去帳,かこちょう,sabetsu ,ng 
がちゃめ,,sabetsu ,ng 
がちゃ目,がちゃめ,sabetsu ,ng 
かさっかき,,sabetsu ,ng 
のうまくえん,,sabetsu ,ng 
キチガイ,きちがい,sabetsu ,ng 
狂気の沙汰,きょうきのさた,sabetsu ,warning
てんさいときょうじんはかみひとえ,,sabetsu ,ng 
天才と狂人は紙一重,てんさいときょうじんはかみひとえ,sabetsu ,ng 
しらっこ,,sabetsu ,ng 
みつくち,,sabetsu ,ng 
だいわんはげ,,sabetsu ,ng 
台湾ハゲ,たいわんはげ,sabetsu ,ng 
馬鹿でもチョンでも,,sabetsu ,ng 
めくら縞,,sabetsu ,ng 
めくら滅法,,sabetsu ,ng 
めくら蛇におじず,,sabetsu ,ng 
てんぼう,,sabetsu ,warning
じへいしょうじ,,sabetsu ,ng 
自閉症児,じへいしょうじ,sabetsu ,ng 
せいしんはくじゃくじ,,sabetsu ,ng 
精神薄弱児,せいしんはくじゃくじ,sabetsu ,ng 
しんしんしょうがいしゃ,,sabetsu ,ng 
心身障害者,しんしんしょうがいしゃ,sabetsu ,ng 
知恵の遅れている子供,,sabetsu ,ng 
ブッシュマン,,other ,ng 
淫姦,いんかん,hiwai ,warning
えんこう,,hiwai ,ng 
援交,えんこう,hiwai ,ng 
えんじょこうさい,,hiwai ,ng 
援助交際,えんじょこうさい,hiwai ,ng 
くいちんぼう,,hiwai ,ng 
くいちん棒,くいちんぼう,hiwai ,ng 
くまんこ,くまんこ,hiwai ,ng 
交姦,こうかん,hiwai ,ng 
ばいしゅん,,hiwai ,ng 
売春,ばいしゅん,hiwai ,ng 
ぼうかん,,hiwai ,warning
暴姦,ぼうかん,hiwai ,ng 
南部のシャケの鼻まがり,,hukai ,ng 
えちごのこめつき,,hukai ,ng 
越後の米つき,えちごのこめつき,hukai ,ng 
とやまのさんすけ,,hukai ,ng 
富山の三助,とやまのさんすけ,hukai ,ng 
上方のぜい六,かみがたのぜいろく,hukai ,ng 
伊勢こじき,,hukai ,ng 
うんこ,,hukai ,warning
むすめをかたづける,,hukai ,ng 
娘をかたづける,むすめをかたづける,hukai ,ng 
くびきり,,hukai ,ng 
首切り,くびきり,hukai ,ng 
http://,,other ,ng 
www.,,other ,ng 
17歳以下の年齢表記,じゅうななさいいかのねんれいひょうき,miseinen,warning
名無し,,nickname,warning
名称未設定,,nickname,ng 
小学校,しょうがっこう,miseinen,warning
中学校,ちゅうがっこう,miseinen,warning
女学生,じょがくせい,miseinen,warning
十代,じゅうだい,miseinen,warning
女子校生・男子校生,じょしこうせい,miseinen,warning
JS,じぇーえす,miseinen,warning
JC,じぇーしー,miseinen,warning
JK,じぇーけー,miseinen,warning
男子校,だんしこう,miseinen,warning
女子校,じょしこうせい,miseinen,warning
コギャル,こぎゃる,miseinen,warning
少年,しょうねん,miseinen,warning
少女,しょうじょ,miseinen,warning
飼育員,しいくいん,miseinen,warning
大学に推薦で入る,だいがくにすいせんではいる,miseinen,warning
ショタ,しょた,miseinen,warning
処女,しょじょ,miseinen,warning
童貞,どうてい,miseinen,warning
未成年,みせいねん,miseinen,warning
少年院,しょうねんいん,miseinen,warning
スクール水着,すくーるみずぎ,miseinen,warning
円光,えんこう,ingo,warning
サポ,さぽ,ingo,warning
佐保,さぽ,ingo,warning
ホ別,ほべつ,ingo,warning
ホ込,ほこみ,ingo,warning
神待ち,かみまち,ingo,warning
いちご,,ingo,warning
イチゴ,いちご,ingo,warning
Pkga.jp ,ぽけげ,other ,ng 
苺,いちご,ingo,warning
ゆきち,,ingo,warning
諭吉,ゆきち,ingo,warning
\,えん,ingo,warning
タヒね,しね,ingo,warning
瓜,うり,ingo,warning
三也,いけぶくろ,ingo,warning
ゴ有,ごむあり,ingo,warning
ゴ無,ごむなし,ingo,warning
TU,とりぷるゆきち,ingo,warning
WU,だぶるゆきち,ingo,warning
リスカ,りすか,ingo,warning
アームカット,あーむかっと,ingo,warning
手首ちゃん,てくびちゃん,ingo,warning
れんこん,,ingo,warning
わらわ,,ingo,warning
わやわ,,ingo,warning
やわらかぎんこう,,ingo,warning
やわらか銀行,やわらかぎんこう,ingo,warning
柔銀,やわぎん,ingo,warning
au,あう,ingo,warning
英雄,えいゆう,ingo,warning
キノコ,きのこ,ingo,warning
子供,こども,ingo,warning
氏ね,しね,ingo,warning
小根,さね,ingo,warning
工作員,こうさくいん,ingo,warning
炉利,ろり,ingo,warning
炉理,ろり,ingo,warning
酒鬼薔薇聖斗,さかきばらせいと,ingo,ng 
エンコ,えんこ,ingo,warning
ジュク,じゅく,ingo,warning
ジエノサイド,じぇのさいど,ingo,warning
直アド,ちょくあど,ingo,warning
直メ,ちょくめ,ingo,warning
割り切り,わりきり,ingo,warning
